date,"('ICLN', 'ICLN')","('XLE', 'XLE')","('VIX', '^VIX')","('Brent', 'BZ=F')","('SP500', '^GSPC')",dgs10,carbon_eua,"('ICLN', 'ICLN')_ret","('XLE', 'XLE')_ret","('Brent', 'BZ=F')_ret",carbon_eua_ret,"('SP500', '^GSPC')_ret",dgs10_diff,carbon_shock_resid,carbon_shock
2020-08-17,15.45688533782959,31.29030990600586,21.350000381469727,45.369998931884766,3381.989990234375,0.69,27.17,0.0117320689969169,-0.0057773795545515,0.0126429477425075,0.03026571380395,0.0027061775074234,-0.02,0.03038038391005272,0
2020-08-18,15.51381778717041,30.89474868774414,21.51000022888184,45.459999084472656,3389.780029296875,0.67,27.41,0.0036765399377873,-0.0127222378655093,0.0019817281516637,0.0087944868764378,0.0023007404198168,-0.0199999999999999,0.008679124085138323,0
2020-08-19,15.57075023651123,30.54039764404297,22.540000915527344,45.369998931884766,3374.85009765625,0.68,27.08,0.0036630724903672,-0.0115359039415504,-0.0019817281516636,-0.0121124622706202,-0.004414123345182,0.01,-0.010354717987746759,0
2020-08-20,15.466374397277832,29.881134033203125,22.71999931335449,44.900001525878906,3385.510009765625,0.65,26.75,-0.0067258957742594,-0.0218230076764808,-0.0104132414014003,-0.0122609747020585,0.0031536547683461,-0.03,-0.012144178486913737,0
2020-08-21,15.45688533782959,29.69159889221192,22.540000915527344,44.34999847412109,3397.159912109375,0.64,26.48,-0.000613716653895,-0.0063631722503183,-0.0123251543819471,-0.0101447422732081,0.0034351999829724,-0.01,-0.012725576281053893,0
2020-08-24,15.64665699005127,30.507436752319336,22.3700008392334,45.130001068115234,3431.280029296875,0.65,28.32,0.0122027263048361,0.027106341624511,0.0174345631562299,0.0671785377567115,0.0099936153649035,0.01,0.06553939069447967,1
2020-08-25,16.00722312927246,30.078914642333984,22.030000686645508,45.86000061035156,3443.6201171875,0.69,29.46,0.0227827826396434,-0.0141460657756211,0.0160460532323453,0.0394651422089652,0.0035898997455401,0.0399999999999999,0.04076344073884638,0
2020-08-26,16.00722312927246,29.44436454772949,23.270000457763672,45.63999938964844,3478.72998046875,0.69,29.48,0.0,-0.0213218808884555,-0.0048087791180732,0.0006786562866516,0.0101440013448414,0.0,0.0029718107319800834,0
2020-08-27,15.959776878356934,29.50205421447754,24.46999931335449,45.09000015258789,3484.550048828125,0.74,29.23,-0.0029684540772955,0.0019573601374984,-0.0121240158036362,-0.0085164881979812,0.0016716460318091,0.05,-0.005322872532060043,0
2020-08-28,16.320350646972656,30.029464721679688,22.959999084472656,45.04999923706055,3508.010009765625,0.74,30.38,0.0223412231553927,0.0177191617400025,-0.0008875286981128,0.0385889180444721,0.0067100028495702,0.0,0.035008182011116336,0
2020-08-31,16.263416290283203,29.37844467163086,26.40999984741211,45.27999877929688,3500.31005859375,0.72,29.53,-0.0034946490221333,-0.0219178260439921,0.0050924398169822,-0.0283778014117954,-0.0021973751755085,-0.02,-0.02991553830205668,0
2020-09-01,16.529098510742188,29.180667877197266,26.1200008392334,45.58000183105469,3526.64990234375,0.68,28.61,0.0162041877861627,-0.0067547999901892,0.0066036570539287,-0.0316503886938124,0.0074968314207059,-0.0399999999999999,-0.031850565270235,0
2020-09-02,16.462675094604492,29.04056739807129,26.56999969482422,44.43000030517578,3580.840087890625,0.66,29.06,-0.0040266708108376,-0.004812702749504,-0.0255541401733604,0.015606351080118,0.0152490501438697,-0.02,0.015573049652592146,0
2020-09-03,15.437908172607422,28.826311111450195,33.599998474121094,44.06999969482422,3455.06005859375,0.63,29.53,-0.0642696486101998,-0.0074051779266629,-0.0081356518874053,0.0160440376136945,-0.0357575941421853,-0.03,0.01181838814937803,0
2020-09-04,15.276603698730469,28.735658645629883,30.75,42.65999984741211,3426.9599609375,0.72,28.13,-0.0105035663624855,-0.0031497372709315,-0.0325175624627321,-0.0485700732540659,-0.0081662807542751,0.0899999999999999,-0.04723806881326473,1
2020-09-08,15.191205978393556,27.68907928466797,31.459999084472656,39.77999877929688,3331.840087890625,0.69,27.53,-0.0056057816348172,-0.0371007272637135,-0.0698974667268941,-0.0215603033472494,-0.0281488290864667,-0.03,-0.020586257274594,0
2020-09-09,15.722564697265623,27.87862014770508,28.809999465942383,40.790000915527344,3398.9599609375,0.71,27.94,0.0343802160025822,0.0068220063120027,0.0250727330348909,0.0147830346742999,0.0199447606621803,0.02,0.011981909117050467,0
2020-09-10,15.371490478515623,26.85675811767578,29.709999084472656,40.060001373291016,3339.18994140625,0.68,29.15,-0.0225823962977939,-0.0373426038511562,-0.0180586112558379,0.0423955589676855,-0.0177412459253955,-0.0299999999999999,0.039329579655011965,0
2020-09-11,15.362000465393066,26.88147735595703,26.8700008392334,39.83000183105469,3340.969970703125,0.67,28.99,-0.0006175682054142,0.000919987037418,-0.0057579213532267,-0.0055039698629372,0.0005329301580873,-0.01,-0.002205563807909815,0
2020-09-14,15.788983345031738,27.08750343322754,25.850000381469727,39.61000061035156,3383.5400390625,0.68,31.2,0.0274154823213203,0.0076350183045391,-0.0055388161224466,0.0734671518818725,0.0126613350250229,0.01,0.07520525776591551,1
2020-09-15,16.092620849609375,26.889724731445312,25.59000015258789,40.52999877929688,3401.199951171875,0.68,30.53,0.0190483944087612,-0.0073282602172065,0.0229607834788566,-0.0217082880686501,0.0052057859304996,0.0,-0.020289427041217105,0
2020-09-16,16.1875057220459,27.96926498413086,26.040000915527344,42.220001220703125,3385.489990234375,0.69,30.71,0.0058788583435004,0.0393619947549593,0.0408516608113766,0.0058785277059445,-0.0046296468921518,0.0099999999999998,0.003918167951498581,0
2020-09-17,15.883874893188477,28.01047134399414,26.459999084472656,43.29999923706055,3357.010009765625,0.69,29.13,-0.018935255985909,0.0014721886885675,0.0252585460555094,-0.0528197634813878,-0.0084479495285524,0.0,-0.05045915389659926,1
2020-09-18,15.864892959594728,27.69732093811035,25.82999992370605,43.150001525878906,3319.469970703125,0.7,28.68,-0.001195758899591,-0.0112427253544436,-0.0034701644969594,-0.0155685552399235,-0.0112455769478285,0.01,-0.02244223058114447,0
2020-09-21,15.7320556640625,26.779268264770508,27.780000686645508,41.43999862670898,3281.06005859375,0.68,27.05,-0.0084082852264238,-0.0337076755347931,-0.0404358880796708,-0.0585130104389289,-0.0116385640272977,-0.0199999999999999,-0.05831248283228275,1
2020-09-22,15.817453384399414,26.502849578857425,26.86000061035156,41.720001220703125,3315.570068359375,0.68,28.47,0.0054135821110435,-0.0103757574566363,0.0067340945800292,0.0511638959974556,0.0104630163983761,0.0,0.046657947591021265,1
2020-09-23,15.67512321472168,25.30502700805664,28.57999992370605,41.77000045776367,3236.919921875,0.68,27.12,-0.0090390278678793,-0.0462491865220789,0.001197730076239,-0.0485794382177513,-0.0240073389143741,0.0,-0.04637850926848471,1
2020-09-24,15.599215507507324,25.2966537475586,28.51000022888184,41.93999862670898,3246.590087890625,0.67,27.4,-0.0048543220656863,-0.0003309479230504,0.0040616032613574,0.0102715503218296,0.002983005554629,-0.01,0.00835836523176886,0
2020-09-25,15.940804481506348,25.27989959716797,26.3799991607666,41.91999816894531,3298.4599609375,0.66,26.75,0.0216615164320502,-0.0006625264038564,-0.0004769963965445,-0.0240085400520089,0.0158504392241884,-0.01,-0.0201699068941509,0
